security_id,provider_symbol,themes,asset_track,bars,first,last
NVDA,NVDA,semiconductors|ai_cloud,stock,2943,2015-01-02,2026-09-16
AMD,AMD,semiconductors,stock,2943,2015-01-02,2026-09-16
TSM,TSM,semiconductors,stock,2943,2015-01-02,2026-09-16
AVGO,AVGO,semiconductors,stock,2943,2015-01-02,2026-09-16
ASML,ASML,semiconductors,stock,2943,2015-01-02,2026-09-16
MU,MU,semiconductors,stock,2943,2015-01-02,2026-09-16
INTC,INTC,semiconductors,stock,2943,2015-01-02,2026-09-16
ARM,ARM,semiconductors,stock,754,2023-09-14,2026-09-16
QCOM,QCOM,semiconductors,stock,2943,2015-01-02,2026-09-16
MRVL,MRVL,semiconductors,stock,2943,2015-01-02,2026-09-16
TXN,TXN,semiconductors,stock,2943,2015-01-02,2026-09-16
LRCX,LRCX,semiconductors,stock,2943,2015-01-02,2026-09-16
KLAC,KLAC,semiconductors,stock,2943,2015-01-02,2026-09-16
AMAT,AMAT,semiconductors,stock,2943,2015-01-02,2026-09-16
MSFT,MSFT,software|ai_cloud,stock,2943,2015-01-02,2026-09-16
ORCL,ORCL,software,stock,2943,2015-01-02,2026-09-16
CRM,CRM,software,stock,2943,2015-01-02,2026-09-16
ADBE,ADBE,software,stock,2943,2015-01-02,2026-09-16
NOW,NOW,software,stock,2943,2015-01-02,2026-09-16
SNOW,SNOW,software,stock,1507,2020-09-16,2026-09-16
PLTR,PLTR,software|ai_cloud,stock,1497,2020-09-30,2026-09-16
PANW,PANW,software,stock,2943,2015-01-02,2026-09-16
NET,NET,software,stock,1761,2019-09-13,2026-09-16
CRWD,CRWD,software,stock,1826,2019-06-12,2026-09-16
DDOG,DDOG,software,stock,1757,2019-09-19,2026-09-16
MDB,MDB,software,stock,2238,2017-10-19,2026-09-16
GOOGL,GOOGL,ai_cloud|social_internet,stock,2943,2015-01-02,2026-09-16
AMZN,AMZN,ai_cloud|retail,stock,2943,2015-01-02,2026-09-16
META,META,ai_cloud|social_internet,stock,2943,2015-01-02,2026-09-16
SMCI,SMCI,ai_cloud,stock,2943,2015-01-02,2026-09-16
ANET,ANET,ai_cloud,stock,2943,2015-01-02,2026-09-16
DELL,DELL,ai_cloud|consumer_electronics,stock,2534,2016-08-17,2026-09-16
CRWV,CRWV,ai_cloud,stock,369,2025-03-28,2026-09-16
LLY,LLY,biotech,stock,2943,2015-01-02,2026-09-16
NVO,NVO,biotech,stock,2943,2015-01-02,2026-09-16
ABBV,ABBV,biotech,stock,2943,2015-01-02,2026-09-16
AMGN,AMGN,biotech,stock,2943,2015-01-02,2026-09-16
GILD,GILD,biotech,stock,2943,2015-01-02,2026-09-16
VRTX,VRTX,biotech,stock,2943,2015-01-02,2026-09-16
REGN,REGN,biotech,stock,2943,2015-01-02,2026-09-16
BIIB,BIIB,biotech,stock,2943,2015-01-02,2026-09-16
MRNA,MRNA,biotech,stock,1953,2018-12-07,2026-09-16
BNTX,BNTX,biotech,stock,1742,2019-10-10,2026-09-16
UNH,UNH,healthcare,stock,2943,2015-01-02,2026-09-16
JNJ,JNJ,healthcare,stock,2943,2015-01-02,2026-09-16
PFE,PFE,healthcare,stock,2943,2015-01-02,2026-09-16
MRK,MRK,healthcare,stock,2943,2015-01-02,2026-09-16
TMO,TMO,healthcare,stock,2943,2015-01-02,2026-09-16
ABT,ABT,healthcare,stock,2943,2015-01-02,2026-09-16
DHR,DHR,healthcare,stock,2943,2015-01-02,2026-09-16
ISRG,ISRG,healthcare,stock,2943,2015-01-02,2026-09-16
MDT,MDT,healthcare,stock,2943,2015-01-02,2026-09-16
BMY,BMY,healthcare,stock,2943,2015-01-02,2026-09-16
AAPL,AAPL,consumer_electronics,stock,2943,2015-01-02,2026-09-16
SONY,SONY,consumer_electronics,stock,2943,2015-01-02,2026-09-16
HPQ,HPQ,consumer_electronics,stock,2943,2015-01-02,2026-09-16
LOGI,LOGI,consumer_electronics,stock,2943,2015-01-02,2026-09-16
TSLA,TSLA,automotive|ev_supply,stock,2943,2015-01-02,2026-09-16
RIVN,RIVN,automotive|ev_supply,stock,1216,2021-11-10,2026-09-16
F,F,automotive,stock,2943,2015-01-02,2026-09-16
GM,GM,automotive,stock,2943,2015-01-02,2026-09-16
LCID,LCID,automotive|ev_supply,stock,1505,2020-09-18,2026-09-16
NIO,NIO,automotive|china_adr,stock,2013,2018-09-12,2026-09-16
LI,LI,automotive|china_adr,stock,1540,2020-07-30,2026-09-16
XPEV,XPEV,automotive|china_adr,stock,1520,2020-08-27,2026-09-16
STLA,STLA,automotive,stock,2943,2015-01-02,2026-09-16
TM,TM,automotive,stock,2943,2015-01-02,2026-09-16
ALB,ALB,ev_supply,stock,2943,2015-01-02,2026-09-16
PLUG,PLUG,ev_supply,stock,2943,2015-01-02,2026-09-16
BLNK,BLNK,ev_supply,stock,2943,2015-01-02,2026-09-16
CHPT,CHPT,ev_supply,stock,1760,2019-09-16,2026-09-16
ENPH,ENPH,ev_supply,stock,2943,2015-01-02,2026-09-16
FSLR,FSLR,ev_supply,stock,2943,2015-01-02,2026-09-16
RUN,RUN,ev_supply,stock,2795,2015-08-05,2026-09-16
JPM,JPM,finance,stock,2943,2015-01-02,2026-09-16
BAC,BAC,finance,stock,2943,2015-01-02,2026-09-16
WFC,WFC,finance,stock,2943,2015-01-02,2026-09-16
C,C,finance,stock,2943,2015-01-02,2026-09-16
GS,GS,finance,stock,2943,2015-01-02,2026-09-16
MS,MS,finance,stock,2943,2015-01-02,2026-09-16
USB,USB,finance,stock,2943,2015-01-02,2026-09-16
PNC,PNC,finance,stock,2943,2015-01-02,2026-09-16
TFC,TFC,finance,stock,2943,2015-01-02,2026-09-16
SCHW,SCHW,finance,stock,2943,2015-01-02,2026-09-16
V,V,fintech,stock,2943,2015-01-02,2026-09-16
MA,MA,fintech,stock,2943,2015-01-02,2026-09-16
PYPL,PYPL,fintech,stock,2817,2015-07-06,2026-09-16
XYZ,XYZ,fintech,stock,2720,2015-11-19,2026-09-16
AXP,AXP,fintech,stock,2943,2015-01-02,2026-09-16
COIN,COIN,fintech|crypto,stock,1363,2021-04-14,2026-09-16
HOOD,HOOD,fintech,stock,1289,2021-07-29,2026-09-16
SOFI,SOFI,fintech,stock,1432,2021-01-04,2026-09-16
AFRM,AFRM,fintech,stock,1425,2021-01-13,2026-09-16
UPST,UPST,fintech,stock,1443,2020-12-16,2026-09-16
WMT,WMT,retail,stock,2943,2015-01-02,2026-09-16
COST,COST,retail,stock,2943,2015-01-02,2026-09-16
HD,HD,retail,stock,2943,2015-01-02,2026-09-16
TGT,TGT,retail,stock,2943,2015-01-02,2026-09-16
LOW,LOW,retail,stock,2943,2015-01-02,2026-09-16
NKE,NKE,retail,stock,2943,2015-01-02,2026-09-16
SBUX,SBUX,retail,stock,2943,2015-01-02,2026-09-16
MCD,MCD,retail,stock,2943,2015-01-02,2026-09-16
TJX,TJX,retail,stock,2943,2015-01-02,2026-09-16
LVMUY,LVMUY,luxury,stock,2943,2015-01-02,2026-09-16
RMS.PA,RMS.PA,luxury,stock,2996,2015-01-02,2026-09-16
CFRUY,CFRUY,luxury,stock,2943,2015-01-02,2026-09-16
EL,EL,luxury,stock,2943,2015-01-02,2026-09-16
TPR,TPR,luxury,stock,2943,2015-01-02,2026-09-16
RL,RL,luxury,stock,2943,2015-01-02,2026-09-16
PVH,PVH,luxury,stock,2943,2015-01-02,2026-09-16
NFLX,NFLX,media_streaming,stock,2943,2015-01-02,2026-09-16
DIS,DIS,media_streaming,stock,2943,2015-01-02,2026-09-16
WBD,WBD,media_streaming,stock,2943,2015-01-02,2026-09-16
PSKY,PSKY,media_streaming,stock,2943,2015-01-02,2026-09-16
ROKU,ROKU,media_streaming,stock,2253,2017-09-28,2026-09-16
SPOT,SPOT,media_streaming,stock,2126,2018-04-03,2026-09-16
FUBO,FUBO,media_streaming,stock,1879,2019-03-27,2026-09-16
