security_id,provider_symbol,themes,asset_track
NVDA,NVDA,semiconductors|ai_cloud,stock
AMD,AMD,semiconductors,stock
TSM,TSM,semiconductors,stock
AVGO,AVGO,semiconductors,stock
ASML,ASML,semiconductors,stock
MU,MU,semiconductors,stock
INTC,INTC,semiconductors,stock
ARM,ARM,semiconductors,stock
QCOM,QCOM,semiconductors,stock
MRVL,MRVL,semiconductors,stock
TXN,TXN,semiconductors,stock
LRCX,LRCX,semiconductors,stock
KLAC,KLAC,semiconductors,stock
AMAT,AMAT,semiconductors,stock
MSFT,MSFT,software|ai_cloud,stock
ORCL,ORCL,software,stock
CRM,CRM,software,stock
ADBE,ADBE,software,stock
NOW,NOW,software,stock
SNOW,SNOW,software,stock
PLTR,PLTR,software|ai_cloud,stock
PANW,PANW,software,stock
NET,NET,software,stock
CRWD,CRWD,software,stock
DDOG,DDOG,software,stock
MDB,MDB,software,stock
GOOGL,GOOGL,ai_cloud|social_internet,stock
AMZN,AMZN,ai_cloud|retail,stock
META,META,ai_cloud|social_internet,stock
SMCI,SMCI,ai_cloud,stock
ANET,ANET,ai_cloud,stock
DELL,DELL,ai_cloud|consumer_electronics,stock
CRWV,CRWV,ai_cloud,stock
LLY,LLY,biotech,stock
NVO,NVO,biotech,stock
ABBV,ABBV,biotech,stock
AMGN,AMGN,biotech,stock
GILD,GILD,biotech,stock
VRTX,VRTX,biotech,stock
REGN,REGN,biotech,stock
BIIB,BIIB,biotech,stock
MRNA,MRNA,biotech,stock
BNTX,BNTX,biotech,stock
UNH,UNH,healthcare,stock
JNJ,JNJ,healthcare,stock
PFE,PFE,healthcare,stock
MRK,MRK,healthcare,stock
TMO,TMO,healthcare,stock
ABT,ABT,healthcare,stock
DHR,DHR,healthcare,stock
ISRG,ISRG,healthcare,stock
MDT,MDT,healthcare,stock
BMY,BMY,healthcare,stock
AAPL,AAPL,consumer_electronics,stock
SONY,SONY,consumer_electronics,stock
HPQ,HPQ,consumer_electronics,stock
LOGI,LOGI,consumer_electronics,stock
TSLA,TSLA,automotive|ev_supply,stock
RIVN,RIVN,automotive|ev_supply,stock
F,F,automotive,stock
GM,GM,automotive,stock
LCID,LCID,automotive|ev_supply,stock
NIO,NIO,automotive|china_adr,stock
LI,LI,automotive|china_adr,stock
XPEV,XPEV,automotive|china_adr,stock
STLA,STLA,automotive,stock
TM,TM,automotive,stock
ALB,ALB,ev_supply,stock
PLUG,PLUG,ev_supply,stock
BLNK,BLNK,ev_supply,stock
CHPT,CHPT,ev_supply,stock
ENPH,ENPH,ev_supply,stock
FSLR,FSLR,ev_supply,stock
RUN,RUN,ev_supply,stock
JPM,JPM,finance,stock
BAC,BAC,finance,stock
WFC,WFC,finance,stock
C,C,finance,stock
GS,GS,finance,stock
MS,MS,finance,stock
USB,USB,finance,stock
PNC,PNC,finance,stock
TFC,TFC,finance,stock
SCHW,SCHW,finance,stock
V,V,fintech,stock
MA,MA,fintech,stock
PYPL,PYPL,fintech,stock
XYZ,XYZ,fintech,stock
AXP,AXP,fintech,stock
COIN,COIN,fintech|crypto,stock
HOOD,HOOD,fintech,stock
SOFI,SOFI,fintech,stock
AFRM,AFRM,fintech,stock
UPST,UPST,fintech,stock
WMT,WMT,retail,stock
COST,COST,retail,stock
HD,HD,retail,stock
TGT,TGT,retail,stock
LOW,LOW,retail,stock
NKE,NKE,retail,stock
SBUX,SBUX,retail,stock
MCD,MCD,retail,stock
TJX,TJX,retail,stock
LVMUY,LVMUY,luxury,stock
RMS.PA,RMS.PA,luxury,stock
CFRUY,CFRUY,luxury,stock
EL,EL,luxury,stock
